iter	Passed	Remaining
0	60	47725
1	72	28245
2	83	21878
3	94	18476
4	105	16488
5	115	15024
6	125	13977
7	135	13174
8	143	12391
9	151	11744
10	159	11216
11	166	10755
12	173	10303
13	179	9913
14	184	9503
15	189	9137
16	194	8803
17	200	8536
18	203	8224
19	208	7989
20	213	7764
21	217	7561
22	221	7359
23	226	7188
24	230	7007
25	234	6855
26	238	6703
27	242	6551
28	245	6409
29	248	6268
30	252	6143
31	255	6031
32	259	5919
33	264	5843
34	269	5778
35	275	5747
36	280	5676
37	285	5610
38	289	5552
39	294	5488
40	298	5419
41	302	5351
42	306	5289
43	310	5230
44	314	5173
45	317	5108
46	321	5058
47	325	5009
48	329	4952
49	332	4898
50	336	4851
51	341	4822
52	346	4789
53	349	4742
54	354	4712
55	357	4666
56	362	4632
57	366	4594
58	369	4558
59	373	4523
60	377	4488
61	380	4446
62	386	4430
63	390	4410
64	394	4381
65	400	4363
66	403	4334
67	408	4315
68	413	4299
69	417	4274
70	423	4262
71	426	4226
72	430	4203
73	434	4179
74	438	4161
75	442	4135
76	446	4108
77	449	4082
78	453	4060
79	457	4038
80	461	4013
81	464	3988
82	469	3974
83	473	3959
84	478	3948
85	483	3937
86	489	3936
87	495	3930
88	502	3933
89	508	3931
90	517	3951
91	525	3964
92	533	3975
93	542	3994
94	549	3999
95	556	3997
96	561	3990
97	566	3979
98	570	3962
99	573	3937
100	576	3912
101	579	3886
102	582	3863
103	586	3842
104	589	3820
105	591	3796
106	595	3776
107	598	3754
108	601	3737
109	606	3726
110	609	3708
111	613	3691
112	616	3671
113	619	3651
114	622	3632
115	625	3613
116	629	3597
117	632	3578
118	635	3560
119	638	3542
120	641	3525
121	644	3508
122	648	3493
123	652	3481
124	655	3466
125	660	3460
126	664	3450
127	670	3447
128	675	3440
129	681	3438
130	688	3441
131	695	3444
132	701	3442
133	704	3429
134	709	3422
135	714	3413
136	718	3404
137	723	3395
138	728	3389
139	733	3385
140	739	3381
141	745	3379
142	751	3378
143	756	3374
144	761	3367
145	769	3374
146	778	3382
147	784	3383
148	790	3379
149	799	3388
150	807	3393
151	814	3396
152	822	3401
153	828	3400
154	834	3396
155	839	3391
156	846	3392
157	853	3390
158	858	3385
159	864	3380
160	869	3374
161	874	3368
162	880	3367
163	887	3365
164	893	3362
165	900	3363
166	906	3360
167	912	3355
168	917	3349
169	922	3342
170	927	3336
171	932	3328
172	937	3321
173	942	3316
174	948	3311
175	954	3306
176	959	3302
177	965	3299
178	970	3292
179	976	3286
180	981	3280
181	986	3273
182	991	3267
183	998	3265
184	1005	3265
185	1012	3267
186	1017	3260
187	1023	3256
188	1029	3250
189	1035	3248
190	1041	3245
191	1048	3242
192	1056	3244
193	1064	3248
194	1073	3252
195	1081	3254
196	1089	3256
197	1095	3253
198	1102	3251
199	1108	3248
200	1114	3242
201	1120	3238
202	1128	3239
203	1134	3238
204	1142	3238
205	1149	3236
206	1155	3231
207	1162	3230
208	1168	3224
209	1173	3217
210	1179	3212
211	1184	3208
212	1191	3204
213	1196	3198
214	1201	3189
215	1205	3181
216	1209	3172
217	1213	3162
218	1217	3152
219	1221	3142
220	1225	3132
221	1228	3121
222	1232	3111
223	1236	3103
224	1240	3093
225	1245	3085
226	1250	3079
227	1256	3075
228	1260	3066
229	1266	3062
230	1272	3057
231	1277	3050
232	1283	3046
233	1289	3041
234	1295	3036
235	1300	3030
236	1305	3023
237	1312	3021
238	1318	3017
239	1325	3015
240	1330	3008
241	1337	3006
242	1344	3004
243	1353	3005
244	1360	3004
245	1367	3000
246	1372	2995
247	1378	2990
248	1383	2984
249	1392	2984
250	1398	2981
251	1405	2977
252	1413	2978
253	1419	2973
254	1426	2971
255	1435	2972
256	1441	2968
257	1448	2964
258	1456	2962
259	1463	2961
260	1472	2962
261	1481	2963
262	1489	2962
263	1494	2954
264	1499	2948
265	1506	2944
266	1511	2938
267	1518	2934
268	1524	2930
269	1530	2924
270	1536	2920
271	1543	2916
272	1549	2911
273	1555	2906
274	1561	2902
275	1567	2896
276	1573	2892
277	1579	2886
278	1583	2877
279	1587	2868
280	1591	2859
281	1594	2850
282	1598	2841
283	1602	2833
284	1607	2825
285	1612	2819
286	1617	2812
287	1623	2807
288	1628	2800
289	1633	2793
290	1637	2786
291	1642	2778
292	1647	2771
293	1652	2765
294	1657	2758
295	1662	2751
296	1668	2746
297	1672	2739
298	1677	2732
299	1683	2726
300	1688	2720
301	1693	2714
302	1699	2709
303	1704	2702
304	1709	2696
305	1715	2690
306	1720	2683
307	1724	2676
308	1730	2671
309	1737	2667
310	1742	2662
311	1749	2658
312	1755	2652
313	1761	2648
314	1767	2642
315	1772	2635
316	1777	2629
317	1781	2621
318	1785	2614
319	1789	2606
320	1793	2598
321	1797	2590
322	1803	2584
323	1808	2578
324	1813	2572
325	1818	2566
326	1825	2562
327	1830	2555
328	1835	2549
329	1842	2545
330	1848	2541
331	1855	2537
332	1859	2530
333	1864	2523
334	1868	2515
335	1871	2506
336	1874	2497
337	1878	2489
338	1882	2482
339	1886	2475
340	1891	2468
341	1896	2461
342	1901	2455
343	1906	2450
344	1913	2445
345	1918	2439
346	1923	2434
347	1931	2430
348	1937	2426
349	1945	2423
350	1952	2419
351	1958	2414
352	1962	2407
353	1967	2400
354	1972	2394
355	1976	2387
356	1980	2380
357	1984	2372
358	1988	2364
359	1992	2358
360	1997	2351
361	2003	2346
362	2007	2339
363	2013	2333
364	2018	2328
365	2023	2322
366	2027	2315
367	2032	2308
368	2036	2301
369	2041	2294
370	2045	2287
371	2049	2280
372	2054	2274
373	2059	2268
374	2064	2262
375	2069	2256
376	2074	2250
377	2078	2243
378	2083	2237
379	2089	2232
380	2095	2227
381	2100	2221
382	2105	2215
383	2110	2209
384	2116	2204
385	2120	2197
386	2125	2191
387	2130	2185
388	2135	2179
389	2142	2175
390	2149	2171
391	2155	2166
392	2160	2160
393	2167	2156
394	2174	2152
395	2182	2149
396	2188	2144
397	2195	2140
398	2201	2135
399	2206	2128
400	2211	2123
401	2215	2116
402	2222	2111
403	2228	2106
404	2233	2101
405	2240	2096
406	2247	2092
407	2254	2088
408	2259	2083
409	2265	2077
410	2271	2072
411	2278	2068
412	2284	2063
413	2290	2057
414	2294	2051
415	2300	2046
416	2305	2039
417	2310	2034
418	2317	2029
419	2322	2024
420	2328	2018
421	2334	2013
422	2341	2009
423	2347	2003
424	2352	1998
425	2357	1992
426	2363	1987
427	2369	1982
428	2377	1978
429	2382	1972
430	2389	1968
431	2395	1963
432	2401	1957
433	2406	1951
434	2412	1946
435	2417	1940
436	2423	1935
437	2427	1929
438	2434	1924
439	2439	1918
440	2444	1912
441	2450	1906
442	2455	1901
443	2461	1896
444	2467	1890
445	2472	1884
446	2479	1880
447	2486	1875
448	2493	1871
449	2498	1865
450	2504	1860
451	2510	1854
452	2516	1849
453	2522	1844
454	2529	1839
455	2535	1834
456	2540	1828
457	2545	1822
458	2550	1817
459	2555	1811
460	2560	1804
461	2564	1798
462	2568	1791
463	2572	1784
464	2575	1777
465	2578	1770
466	2581	1763
467	2585	1756
468	2589	1750
469	2593	1743
470	2598	1737
471	2602	1731
472	2606	1724
473	2610	1718
474	2615	1712
